Index,Index in initial List,CWNS_No,Total Flow (MGD),City,County,State,Has Cogen,Est. Electricity Demand (MW),Est. Gas Demand (therms/hr),Electricity Utility,Gas Utility,Electric URL,Gas URL
59,747,36002001005,96.09,Jamaica,Queens,NY,Yes,7.0065625,23.90864929,Con Edison,National Grid,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://www.nationalgridus.com/media/pdfs/billing-payments/gas-rates/nym/kedny_gas_delivery_charges_-_effective_september_2021.pdf
60,3838,21000025001,97.5,Louisville,Jefferson,KY,No,14.21875,0,Louisville Gas and Electric,,https://lge-ku.com/sites/default/files/regulatory/LGE-Electric-Rates-10222021.pdf,
61,14353,53000776002,110,Seattle,King,WA,Yes,8.020833333,27.36966825,Seattle City Light,Puget Sound Energy,http://www.seattle.gov/city-light/business-solutions/business-billing-and-account-information/business-rates,https://www.pse.com/-/media/Project/PSE/Portal/Rate-documents/summ_gas_prices_2021_10_01.pdf?sc_lang=en
62,11071,29001023001,111,St. Louis,St. Louis,MO,No,16.1875,0,Ameren,,https://www.ameren.com/-/media/rates/files/missouri/uecsheet61rate11mlps.pdf,
63,11072,29001023002,114,St. Louis,St. Louis,MO,No,16.625,0,Ameren,,https://www.ameren.com/-/media/rates/files/missouri/uecsheet61rate11mlps.pdf,
64,5437,18000061001,120,Indianapolis,Marion,IN,No,17.5,0,AES Indiana,,https://www.aesindiana.com/sites/default/files/2021-05/Rate-PL-Primary-Service-Large-50409-Effective-04-07-21.pdf,
65,744,36002001002,122.12,Bronx,Bronx,NY,Yes,8.904583333,30.38530806,Con Edison,Con Edison,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://www.coned.com/_external/cerates/documents/gas_tariff/pdf/schedule-for-gas-service.pdf
66,9351,48004026001,123.704,Dallas,Dallas,TX,No,18.04016667,0,Oncor,,https://www.oncor.com/content/dam/oncorwww/documents/about-us/regulatory/tariff-and-rate-schedules/Tariff%20for%20Retail%20Delivery%20Service.pdf.coredownload.pdf,
67,3145,12000017004,127,Miami,Miami-Dade,FL,Yes,9.260416667,31.59952607,Florida power and light,Florida City Gas,https://www.fpl.com/content/dam/fpl/us/en/rates/pdf/bus-may-2021.pdf,https://www.floridacitygas.com/fcgcommon/pdfs/FACT-SHEET-FCG-Rates.pdf
68,745,36002001003,129.11,Astoria,Queens,NY,Yes,9.414270833,32.12452607,Con Edison,National Grid,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://www.nationalgridus.com/media/pdfs/billing-payments/gas-rates/nym/kedny_gas_delivery_charges_-_effective_september_2021.pdf
69,6767,39001666001,131.09,Cleveland,Cuyahoga,OH,No,19.11729167,0,Cleveland Public Power,,https://www.cpp.org/info/Pricing/Rate-Schedule,
70,9376,48004122001,138.9,Fort Worth,Tarrant,TX,Yes,10.128125,34.56042654,Oncor,Atmos Energy,https://www.vaultelectricity.com/Texas-electric-companies/TX-commercial-electricity-prices-rates-plans/Texas-commercial-electricity.html,https://www.atmosenergy.com/sites/default/files/mtx_aec_tariff_cee_effective_7_01_2021.pdf
71,13251,4001318001,140,Phoenix,Maricopa,AZ,Yes,10.20833333,34.83412322,Salt River Project,Southwest Gas,https://www.srpnet.com/prices/business/pdfx/Nov2021/E-63.pdf,https://www.swgas.com/7200000200650/21-1201--AZ-Gas-Tariff-No-7-Revision-No-375.pdf
72,13409,6002041001,143.3,San Jose,Santa Clara,CA,Yes,10.44895833,35.65521327,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf
73,1253,36009071001,149,Buffalo,Erie,NY,No,21.72916667,0,National Grid,,https://www.nationalgridus.com/Upstate-NY-Business/Rates/Service-Rates,
74,6882,39003369002,151,Cincinnati,Hamilton,OH,No,22.02083333,0,Duke Energy,,https://desitecoreprod-cd.azureedge.net/_/media/pdfs/for-your-home/rates/electric-oh/sheet-no-44-rate-dp-oh-e.pdf?la=en&rev=a49713772b324649a03d24df25ba071e,
75,13790,6008022002,151,Fountain Valley,Orange,CA,Yes,11.01041667,37.57109005,Southern California Edison,Socal Gas,https://library.sce.com/content/dam/sce-doclib/public/regulatory/tariff/electric/schedules/general-service-&-industrial-rates/ELECTRIC_SCHEDULES_TOU-8.pdf,https://tariff.socalgas.com/regulatory/tariffs/tm2/pdf/G-10.pdf
76,9093,48000004001,152,Dallas,Dallas,TX,No,22.16666667,0,Oncor,,https://www.oncor.com/content/dam/oncorwww/documents/about-us/regulatory/tariff-and-rate-schedules/Tariff%20for%20Retail%20Delivery%20Service.pdf.coredownload.pdf,
77,12303,8000070001,152,Denver,Adams,CO,Yes,11.08333333,37.81990521,Xcel energy,Xcel energy,https://www.xcelenergy.com/staticfiles/xe/Regulatory/COBusRates.pdf,https://www.xcelenergy.com/staticfiles/xe-responsive/Company/Rates%20&%20Regulations/Gas_Tariff_Summary_Sheet_07.01.2021.pdf
78,1308,24000001001,155.483,Baltimore,Baltimore,MD,Yes,11.33730208,38.68652844,Baltimore Gas and Electric,Baltimore Gas and Electric,https://www.bge.com/MyAccount/MyBillUsage/Documents/Electric/P3_SCH_P.pdf,https://www.bge.com/MyAccount/MyBillUsage/Documents/Gas/GasScheduleC.pdf
79,1984,42005016001,164,Pittsburgh,Allegheny,PA,No,23.91666667,0,Duquesne Light Company,,https://www.duquesnelight.com/docs/default-source/default-document-library/currenttariff.pdf?Status=Temp&sfvrsn=e69ca442_125,
80,13535,6005009001,165,Sacramento,Sacramento,CA,Yes,12.03125,41.05450237,SMUD,Pacific  Gas and Energy,https://www.smud.org/-/media/Documents/Rate-Information/Rates/CI-TOD4.ashx,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf
